date,infl_zscore_120m,infl_yoy,spx_vs_10ma,cape_z_120m,target_event,mdd_12m
1910-01-31,1.494770,10.526694,0.043672,-0.872024,0.000000,-0.132530
1910-02-28,1.560246,10.638704,0.009514,-0.919487,0.000000,-0.132530
1910-03-31,1.364415,9.473837,-0.030424,-1.066016,0.000000,-0.111111
1910-04-30,1.814296,11.578643,-0.009744,-1.035865,0.000000,-0.096234
1910-05-31,1.578869,10.309696,-0.032836,-1.161800,0.000000,-0.050549
1910-06-30,0.944620,7.143477,-0.045146,-1.141301,0.000000,-0.028970
1910-07-31,0.519755,5.050683,-0.081179,-1.281154,0.000000,-0.028970
1910-08-31,0.526807,5.050683,-0.113755,-1.452060,0.000000,-0.051706
1910-09-30,0.103749,2.999763,-0.079180,-1.313733,0.000000,-0.103413
1910-10-31,-0.312393,0.990315,-0.060523,-1.240074,0.000000,-0.103413
1910-11-30,-1.313042,-3.883469,-0.007032,-0.947561,0.000000,-0.103413
1910-12-31,-1.869626,-6.731328,0.000107,-0.864167,0.000000,-0.103413
1911-01-31,-2.021816,-7.619788,-0.020775,-0.967585,0.000000,-0.103413
1911-02-28,-1.816260,-6.731328,0.010574,-0.865702,0.000000,-0.103413
1911-03-31,-2.349320,-9.615716,0.031277,-0.662196,0.000000,-0.103413
1911-04-30,-2.446409,-10.377114,0.021930,-0.748762,0.000000,-0.103413
1911-05-31,-3.045518,-14.018406,0.015540,-0.627075,0.000000,-0.103413
1911-06-30,-2.655139,-12.381031,0.027977,-0.528092,0.000000,-0.099688
1911-07-31,-2.431139,-11.538362,0.039338,-0.431683,0.000000,-0.054526
1911-08-31,-2.206132,-10.577449,0.027090,-0.493267,0.000000,-0.008772
1911-09-30,-1.517118,-6.795867,-0.020404,-0.846407,0.000000,-0.008772
1911-10-31,-1.173816,-4.902154,-0.067441,-1.114431,0.000000,-0.008772
1911-11-30,-0.668705,-2.020623,-0.058722,-1.078385,0.000000,-0.013185
1911-12-31,-0.491935,-1.030264,-0.018823,-0.854890,0.000000,-0.048682
1912-01-31,-0.659521,-2.061406,-0.011072,-0.776814,0.000000,-0.056795
1912-02-29,-0.476036,-1.030264,-0.007833,-0.808518,0.000000,-0.090264
1912-03-31,0.253008,3.191250,-0.013962,-0.884063,0.000000,-0.107505
1912-04-30,0.428090,4.210496,0.016393,-0.836516,0.000000,-0.108519
1912-05-31,1.558017,10.869003,0.049005,-0.821712,0.000000,-0.132860
1912-06-30,1.544101,10.869003,0.048484,-0.814445,0.000000,-0.176471
1912-07-31,1.355532,9.781817,0.043800,-0.753597,0.000000,-0.176471
1912-08-31,1.151671,8.602127,0.034520,-0.737268,0.000000,-0.176471
1912-09-30,0.749973,6.249504,0.045954,-0.661842,0.000000,-0.174797
1912-10-31,0.736510,6.185995,0.042504,-0.675849,0.000000,-0.165468
1912-11-30,0.753062,6.185995,0.032421,-0.671803,0.000000,-0.141791
1912-12-31,0.941924,7.291380,0.014387,-0.721202,0.000000,-0.135484
1913-01-31,0.954441,7.368147,-0.025556,-0.852606,0.000000,-0.103679
1913-02-28,0.948326,7.291380,-0.033867,-0.938073,0.000000,-0.086364
1913-03-31,0.767623,6.185995,-0.062108,-1.115647,0.000000,-0.085324
1913-04-30,0.400976,4.040376,-0.072317,-1.200166,0.000000,-0.059649
1913-05-31,-0.122448,0.980594,-0.065589,-1.186567,0.000000,-0.057444
1913-06-30,-0.298832,-0.049821,-0.080942,-1.256666,0.000000,-0.057444
1913-07-31,0.049462,1.980620,-0.111014,-1.535161,0.000000,-0.099648
1913-08-31,0.225160,3.021238,-0.082599,-1.488000,0.000000,-0.099648
1913-09-30,0.049169,2.011008,-0.043252,-1.333168,0.000000,-0.094340
1913-10-31,0.053062,2.040816,-0.020891,-1.312118,0.000000,-0.094340
1913-11-30,0.041071,2.040816,-0.039535,-1.439540,0.000000,-0.094340
1913-12-31,0.209223,3.061224,-0.050147,-1.571171,0.000000,-0.133255
1914-01-31,0.194555,3.041422,-0.040802,-1.500471,0.000000,-0.133255
1914-02-28,0.008360,2.040816,0.003717,-1.292848,0.000000,-0.116587
1914-03-31,-0.178026,1.020408,0.020703,-1.166681,0.000000,-0.100367
1914-04-30,-0.179613,1.020408,0.004224,-1.236333,0.000000,-0.100367
1914-05-31,-0.363291,0.000000,-0.019915,-1.278607,0.000000,-0.095941
1914-06-30,-0.000635,2.061856,-0.013166,-1.274070,0.000000,-0.042969
1914-07-31,-0.189974,1.020408,-0.014187,-1.272100,0.000000,-0.042969
1914-08-31,-0.195298,1.010101,-0.059054,-1.524346,0.000000,-0.042969
1914-09-30,0.161693,3.030303,-0.052320,-1.569054,0.000000,-0.042969
1914-10-31,-0.025725,2.000000,-0.047973,-1.534791,0.000000,-0.042969
1914-11-30,-0.204577,1.000000,-0.043706,-1.465352,0.000000,-0.023342
1914-12-31,-0.200950,0.990099,-0.035418,-1.475045,0.000000,-0.023342
1915-01-31,-0.193788,1.000000,-0.063575,-1.575101,0.000000,-0.023342
1915-02-28,-0.191819,1.000000,-0.036703,-1.480640,0.000000,-0.023342
1915-03-31,-0.191599,1.010101,-0.040437,-1.471334,0.000000,-0.032700
1915-04-30,-0.372823,0.000000,-0.007994,-1.316459,0.000000,-0.043249
1915-05-31,-0.008010,2.040816,0.066562,-1.041055,0.000000,-0.043249
1915-06-30,-0.011211,2.020202,0.037995,-1.168665,0.000000,-0.043249
1915-07-31,-0.010714,2.020202,0.044834,-1.104800,0.000000,-0.043249
1915-08-31,-0.191724,1.000000,0.036491,-1.108285,0.000000,-0.043249
1915-09-30,-0.541414,-0.980392,0.071199,-0.912132,0.000000,-0.043249
1915-10-31,-0.539589,-0.980392,0.097175,-0.730499,0.000000,-0.043249
1915-11-30,-0.188290,0.990099,0.132309,-0.497191,0.000000,-0.043249
1915-12-31,-0.193402,0.980392,0.143894,-0.352284,0.000000,-0.040157
1916-01-31,-0.017047,1.980198,0.117925,-0.328214,0.000000,-0.062684
1916-02-29,0.156271,2.970297,0.077865,-0.465688,0.000000,-0.115573
1916-03-31,0.335211,4.000000,0.049989,-0.543275,0.000000,-0.115573
1916-04-30,0.696527,6.060606,0.032193,-0.619409,0.000000,-0.115573
1916-05-31,0.677179,6.000000,0.009236,-0.745936,0.000000,-0.132223
1916-06-30,0.661741,5.940594,0.017228,-0.674580,0.000000,-0.132223
1916-07-31,0.831120,6.930693,0.015845,-0.680895,0.000000,-0.139079
1916-08-31,0.819061,6.930693,-0.004422,-0.783085,0.000000,-0.164545
1916-09-30,0.981147,7.920792,0.001400,-0.815400,1.000000,-0.204701
1916-10-31,1.312718,9.900990,0.039854,-0.693987,1.000000,-0.247796
1916-11-30,1.449627,10.784314,0.066353,-0.626202,1.000000,-0.281633
1916-12-31,1.577275,11.650485,0.080766,-0.615952,1.000000,-0.289446
1917-01-31,1.715301,12.621359,0.030819,-1.037160,1.000000,-0.269603
1917-02-28,1.664052,12.500000,0.002409,-1.325951,1.000000,-0.269603
1917-03-31,2.102982,15.384615,-0.053757,-1.952377,1.000000,-0.258451
1917-04-30,1.881493,14.285714,-0.024825,-1.731415,1.000000,-0.247788
1917-05-31,2.543293,18.867925,-0.037573,-2.151708,1.000000,-0.247788
1917-06-30,2.575356,19.626168,-0.066484,-2.417021,1.000000,-0.226394
1917-07-31,2.602585,20.370370,-0.044902,-2.333390,1.000000,-0.202814
1917-08-31,2.278398,18.518519,-0.062500,-2.350140,0.000000,-0.162562
1917-09-30,2.328798,19.266055,-0.075940,-2.534626,0.000000,-0.114583
1917-10-31,2.342712,19.819820,-0.099978,-2.803420,0.000000,-0.034091
1917-11-30,2.230796,19.469027,-0.128263,-3.018472,0.000000,-0.029610
1917-12-31,1.893609,17.391304,-0.177282,-3.235375,0.000000,-0.029610
1918-01-31,1.941683,18.103448,-0.184065,-3.253231,0.000000,-0.029610
1918-02-28,2.093558,19.658120,-0.112506,-2.988754,0.000000,-0.026055
1918-03-31,1.768140,17.500000,-0.065409,-2.798904,0.000000,-0.026055
1918-04-30,1.624872,16.666667,-0.065708,-2.735202,0.000000,-0.026055
