date,vts_slope,vts_ratio,vts_backwardation,vts_slope_zscore,spx_vs_10ma,spx_below_10ma,m12_1_mom,anfci_level,anfci_3m_chg,cape_20yr_pct,baa_zscore_24m,cpce_low_dummy
1871-01-31,,,,,,,,,,,,
1871-02-28,,,,,,,,,,,,
1871-03-31,,,,,,,,,,,,
1871-04-30,,,,,,,,,,,,
1871-05-31,,,,,,,,,,,,
1871-06-30,,,,,,,,,,,,
1871-07-31,,,,,3.396503,0.000000,,,,,,
1871-08-31,,,,,1.253827,0.000000,,,,,,
1871-09-30,,,,,2.213923,0.000000,,,,,,
1871-10-31,,,,,2.905745,0.000000,,,,,,
1871-11-30,,,,,-2.173916,1.000000,,,,,,
1871-12-31,,,,,-1.528011,1.000000,,,,,,
1872-01-31,,,,,0.084453,0.000000,,,,,,
1872-02-29,,,,,2.079397,0.000000,0.094595,,,,,
1872-03-31,,,,,2.198952,0.000000,0.084444,,,,,
1872-04-30,,,,,5.153352,0.000000,0.093276,,,,,
1872-05-31,,,,,7.268596,0.000000,0.092827,,,,,
1872-06-30,,,,,6.278220,0.000000,0.065844,,,,,
1872-07-31,,,,,4.523230,0.000000,0.064315,,,,,
1872-08-31,,,,,3.364406,0.000000,0.078224,,,,,
1872-09-30,,,,,1.225147,0.000000,0.052192,,,,,
1872-10-31,,,,,-1.197605,1.000000,0.022727,,,,,
1872-11-30,,,,,-1.251741,1.000000,0.082789,,,,,
1872-12-31,,,,,-1.824674,1.000000,0.066810,,,,,
1873-01-31,,,,,0.177836,0.000000,0.069620,,,,,
1873-02-28,,,,,0.828731,0.000000,0.051440,,,,,
1873-03-31,,,,,1.678183,0.000000,0.055328,,,,,
1873-04-30,,,,,1.028077,0.000000,0.013889,,,,,
1873-05-31,,,,,-0.178253,1.000000,-0.027027,,,,,
1873-06-30,,,,,0.118943,0.000000,-0.025097,,,,,
1873-07-31,,,,,-1.151245,1.000000,-0.029240,,,,,
1873-08-31,,,,,-1.388892,1.000000,-0.025490,,,,,
1873-09-30,,,,,-1.388892,1.000000,-0.013889,,,,,
1873-10-31,,,,,-8.273388,1.000000,-0.072727,,,,,
1873-11-30,,,,,-14.768111,1.000000,-0.156942,,,,,
1873-12-31,,,,,-15.990853,1.000000,-0.183838,,,,,
1874-01-31,,,,,-6.672295,1.000000,-0.128205,,,,,
1874-02-28,,,,,-0.660840,1.000000,-0.088063,,,,,
1874-03-31,,,,,2.849803,0.000000,-0.067961,,,,,
1874-04-30,,,,,2.049625,0.000000,-0.074364,,,,,
1874-05-31,,,,,0.065265,0.000000,-0.087302,,,,,
1874-06-30,,,,,-1.495167,1.000000,-0.112871,,,,,
1874-07-31,,,,,-0.822772,1.000000,-0.104418,,,,,
1874-08-31,,,,,-0.535238,1.000000,-0.102616,,,,,
1874-09-30,,,,,-0.930845,1.000000,-0.100604,,,,,
1874-10-31,,,,,-0.482236,1.000000,-0.010893,,,,,
1874-11-30,,,,,-0.940303,1.000000,0.081146,,,,,
1874-12-31,,,,,0.131459,0.000000,0.131188,,,,,
1875-01-31,,,,,0.044081,0.000000,0.027149,,,,,
1875-02-28,,,,,0.464712,0.000000,-0.025751,,,,,
1875-03-31,,,,,0.398934,0.000000,-0.056250,,,,,
1875-04-30,,,,,1.481310,0.000000,-0.029598,,,,,
1875-05-31,,,,,2.377813,0.000000,0.010870,,,,,
1875-06-30,,,,,-1.606866,1.000000,-0.002232,,,,,
1875-07-31,,,,,-3.396559,1.000000,-0.017937,,,,,
1875-08-31,,,,,-2.854623,1.000000,-0.015695,,,,,
1875-09-30,,,,,-2.152218,1.000000,-0.013423,,,,,
1875-10-31,,,,,-2.607539,1.000000,-0.037445,,,,,
1875-11-30,,,,,-3.652260,1.000000,-0.050773,,,,,
1875-12-31,,,,,-1.709405,1.000000,-0.043764,,,,,
1876-01-31,,,,,-1.354404,1.000000,-0.037445,,,,,
1876-02-29,,,,,0.973510,0.000000,-0.017621,,,,,
1876-03-31,,,,,2.633964,0.000000,-0.002208,,,,,
1876-04-30,,,,,2.313982,0.000000,-0.017429,,,,,
1876-05-31,,,,,-1.453211,1.000000,-0.066667,,,,,
1876-06-30,,,,,-4.631524,1.000000,-0.064877,,,,,
1876-07-31,,,,,-4.750977,1.000000,-0.052512,,,,,
1876-08-31,,,,,-5.311786,1.000000,-0.066059,,,,,
1876-09-30,,,,,-8.455626,1.000000,-0.108843,,,,,
1876-10-31,,,,,-12.662720,1.000000,-0.155606,,,,,
1876-11-30,,,,,-11.672680,1.000000,-0.146512,,,,,
