date,ens_1m,real_1m,ens_3m,real_3m,ens_6m,real_6m,ens_12m,real_12m
1960-01-31,0.017163,0.009171,0.031814,-0.022298,0.032362,-0.001798,0.080769,0.110951
1960-02-29,0.011272,-0.013899,0.020009,-0.005167,0.023824,0.014968,0.064325,0.130435
1960-03-31,0.004073,-0.017528,0.010977,0.028551,0.014089,-0.032888,0.051438,0.175641
1960-04-30,-0.000012,0.026853,0.010421,0.020967,0.010735,-0.018025,0.047225,0.201214
1960-05-31,0.001539,0.019523,0.012412,0.020240,0.010772,-0.005194,0.046653,0.192190
1960-06-30,0.001957,-0.024772,0.015604,-0.059733,0.014636,0.020907,0.052244,0.135629
1960-07-31,0.001824,0.026121,0.010167,-0.038191,0.016063,0.112953,0.051572,0.202666
1960-08-31,0.003907,-0.060393,0.010167,-0.024930,0.030155,0.113764,0.075826,0.195049
1960-09-30,0.005420,-0.002429,0.009937,0.085762,0.031455,0.215620,0.086781,0.246824
1960-10-31,0.004223,0.040270,0.007550,0.157146,0.029132,0.223263,0.090476,0.285259
1960-11-30,0.005622,0.046273,0.012462,0.142240,0.034764,0.198415,0.093341,0.284120
1960-12-31,0.005483,0.063156,0.011068,0.119601,0.032559,0.112373,0.089893,0.231286
1961-01-31,0.006189,0.026870,0.015683,0.057138,0.036291,0.080609,0.077686,0.114276
1961-02-28,0.005964,0.025536,0.018069,0.049180,0.036577,0.072982,0.081042,0.102774
1961-03-31,0.005573,0.003843,0.029076,-0.006456,0.038359,0.025669,0.088425,0.069013
1961-04-30,0.004624,0.019139,0.028919,0.022202,0.034733,0.050681,0.082740,-0.001072
1961-05-31,0.004473,-0.028846,0.028993,0.022686,0.036681,0.071514,0.083454,-0.104117
1961-06-30,0.005136,0.032797,0.025246,0.032333,0.035205,0.106900,0.083259,-0.153001
1961-07-31,0.004951,0.019622,0.018104,0.027861,0.034706,0.031156,0.074140,-0.127771
1961-08-31,0.005797,-0.019686,0.023942,0.047745,0.039516,0.027766,0.068401,-0.131482
1961-09-30,0.007176,0.028323,0.027272,0.072231,0.040773,0.042260,0.063727,-0.156751
1961-10-31,0.007387,0.039347,0.023143,0.003206,0.039064,-0.049257,0.065697,-0.176333
1961-11-30,0.006117,0.003225,0.014796,-0.019069,0.027731,-0.163909,0.052959,-0.127033
1961-12-31,0.006115,-0.037876,0.015422,-0.027952,0.027473,-0.234801,0.054778,-0.118099
1962-01-31,0.006677,0.016270,0.017136,-0.052295,0.023049,-0.154125,0.051450,-0.038350
1962-02-28,0.004189,-0.005860,0.012282,-0.147656,0.016848,-0.154946,0.044770,-0.081046
1962-03-31,0.003779,-0.061970,0.010868,-0.212797,0.017737,-0.190942,0.046322,-0.042847
1962-04-30,0.002226,-0.085990,0.008714,-0.107449,0.015323,-0.133660,0.044368,0.069896
1962-05-31,0.000245,-0.081838,0.004602,-0.008553,0.012239,0.044105,0.040344,0.187322
1962-06-30,0.000678,0.063562,0.003319,0.027763,0.006697,0.152511,0.034039,0.267032
1962-07-31,0.001608,0.015284,0.004255,-0.029366,0.012108,0.136871,0.057578,0.187189
1962-08-31,0.000727,-0.048207,0.002557,0.053112,0.008419,0.087449,0.053787,0.226319
1962-09-30,0.001318,0.004443,0.004821,0.121379,0.013974,0.183046,0.060440,0.274214
1962-10-31,0.001150,0.101557,0.004599,0.171267,0.011901,0.234961,0.060355,0.309448
1962-11-30,0.001598,0.013492,0.004220,0.032605,0.013956,0.137167,0.063115,0.176197
1962-12-31,0.001207,0.049128,0.003492,0.054992,0.012894,0.099366,0.053442,0.188906
1963-01-31,0.002824,-0.028852,0.010300,0.054381,0.014801,0.044260,0.039275,0.163746
1963-02-28,0.002412,0.035464,0.009361,0.101260,0.013726,0.127703,0.030995,0.210142
1963-03-31,0.001309,0.048520,0.010520,0.042061,0.008952,0.077062,0.027204,0.186420
1963-04-30,0.002407,0.014327,0.011337,-0.009599,0.008619,0.060315,0.029095,0.138395
1963-05-31,0.001253,-0.020198,0.007126,0.024011,0.005023,0.034322,0.020210,0.135169
1963-06-30,0.000660,-0.003460,0.007308,0.033588,0.009713,0.081447,0.023600,0.177598
