date,mean,enet,knn,rf,mlp,realized
1960-01-31,0.071604,0.031709,0.035112,0.025896,0.267018,0.110951
1960-02-29,0.071436,0.033073,0.040774,0.008705,0.146306,0.130435
1960-03-31,0.071228,0.037078,0.026579,0.017719,0.045214,0.175641
1960-04-30,0.070867,0.038167,0.024556,0.021036,0.010576,0.201214
1960-05-31,0.070528,0.037395,0.027498,0.012806,0.013416,0.192190
1960-06-30,0.070254,0.038329,0.043665,0.014143,0.040799,0.135629
1960-07-31,0.069823,0.034748,0.080656,0.033695,-0.015815,0.202666
1960-08-31,0.069503,0.037075,0.139616,0.071650,0.080258,0.195049
1960-09-30,0.069143,0.035991,0.167393,0.088812,0.125478,0.246824
1960-10-31,0.068749,0.038204,0.135815,0.078150,0.196644,0.285259
1960-11-30,0.068427,0.040743,0.182254,0.089421,0.160605,0.284120
1960-12-31,0.068154,0.037686,0.186521,0.084724,0.137601,0.231286
1961-01-31,0.068272,0.035449,0.111341,0.120835,0.080779,0.114276
1961-02-28,0.068272,0.030967,0.103001,0.116026,0.125254,0.102774
1961-03-31,0.068740,0.027525,0.112054,0.099662,0.193196,0.069013
1961-04-30,0.069103,0.026424,0.135481,0.104793,0.118808,-0.001072
1961-05-31,0.069441,0.024310,0.137449,0.114613,0.113494,-0.104117
1961-06-30,0.069622,0.023494,0.140598,0.114357,0.109136,-0.153001
1961-07-31,0.069984,0.048086,0.115062,0.084074,0.065963,-0.127771
1961-08-31,0.070324,0.048441,0.063213,0.055049,0.099207,-0.131482
1961-09-30,0.070802,0.046964,0.060410,0.056240,0.062996,-0.156751
1961-10-31,0.071382,0.049093,0.065969,0.055374,0.069613,-0.176333
1961-11-30,0.071955,0.048700,0.064412,0.036835,-0.014095,-0.127033
1961-12-31,0.072384,0.047111,0.086736,0.030741,-0.015898,-0.118099
1962-01-31,0.072496,0.048201,0.052835,0.022456,-0.001879,-0.038350
1962-02-28,0.072577,0.049597,0.032556,0.020008,-0.034312,-0.081046
1962-03-31,0.072567,0.049165,0.039189,0.026002,-0.034050,-0.042847
1962-04-30,0.072371,0.049359,0.042651,0.025201,-0.051751,0.069896
1962-05-31,0.071903,0.050720,0.052347,0.022342,-0.090269,0.187322
1962-06-30,0.071308,0.053775,0.084661,-0.036455,-0.114902,0.267032
1962-07-31,0.070783,0.057787,0.156856,0.033357,-0.070508,0.187189
1962-08-31,0.070251,0.056954,0.126583,0.027185,-0.061434,0.226319
1962-09-30,0.069655,0.055860,0.150990,0.021003,-0.022955,0.274214
1962-10-31,0.069011,0.054901,0.154415,0.025717,-0.028233,0.309448
1962-11-30,0.068499,0.056436,0.156856,0.032566,-0.014936,0.176197
1962-12-31,0.068013,0.053582,0.102327,0.022156,-0.022578,0.188906
1963-01-31,0.067737,0.033927,0.057861,0.011052,-0.059586,0.163746
1963-02-28,0.067352,0.031053,0.010986,-0.006027,-0.057462,0.210142
1963-03-31,0.067067,0.030197,0.025684,-0.039580,-0.066938,0.186420
1963-04-30,0.067074,0.030880,0.031627,-0.033428,-0.064613,0.138395
1963-05-31,0.067383,0.027515,0.001395,-0.060463,-0.076296,0.135169
1963-06-30,0.067895,0.026202,0.009191,-0.053133,-0.065041,0.177598
1963-07-31,0.068200,0.048356,0.027504,-0.058320,-0.024320,0.203240
1963-08-31,0.068604,0.049120,0.029054,-0.058210,-0.011441,0.128690
1963-09-30,0.069127,0.048197,-0.002502,-0.055490,-0.003059,0.174059
1963-10-31,0.069737,0.049135,-0.014513,-0.021372,-0.001208,0.146602
1963-11-30,0.070006,0.049252,-0.009038,-0.026100,0.019317,0.152806
1963-12-31,0.070306,0.049546,-0.000248,-0.019112,0.023880,0.129699
1964-01-31,0.070542,0.050034,0.000264,-0.021362,0.027498,0.136552
1964-02-29,0.070893,0.049077,0.000145,-0.022437,0.021563,0.123779
1964-03-31,0.071182,0.048755,0.012429,-0.020962,0.010278,0.090909
1964-04-30,0.071350,0.049387,0.010636,-0.020109,0.015768,0.121445
1964-05-31,0.071509,0.049011,0.015379,-0.019739,0.010274,0.100162
1964-06-30,0.071773,0.048791,0.022613,-0.019226,0.011709,0.029747
1964-07-31,0.072099,0.050321,0.017403,0.002805,0.068542,0.024886
1964-08-31,0.072240,0.049354,0.022018,0.002034,0.049955,0.065257
1964-09-30,0.072491,0.049819,0.032929,0.002875,0.059935,0.068662
1964-10-31,0.072673,0.050423,0.027517,0.004135,0.063155,0.089088
1964-11-30,0.072870,0.049991,0.030585,0.003109,0.064259,0.085169
1964-12-31,0.073010,0.049974,0.046689,0.004658,0.062926,0.090619
1965-01-31,0.073165,0.073165,0.064772,0.029244,0.051526,0.060758
1965-02-28,0.073165,0.073165,0.055831,0.029589,0.032764,0.043349
1965-03-31,0.073331,0.073165,0.066893,0.029102,0.064689,0.035631
1965-04-30,0.073448,0.073448,0.072621,0.030343,0.028343,0.021883
1965-05-31,0.073513,0.073448,0.070403,0.023197,0.038030,-0.025899
1965-06-30,0.073407,0.073448,0.063038,0.012660,0.030545,0.007370
1965-07-31,0.073290,0.073290,0.063492,0.020867,-0.016885,-0.019355
1965-08-31,0.073271,0.073290,0.076477,0.032685,-0.014367,-0.115521
1965-09-30,0.073260,0.073290,0.073038,0.027189,-0.022245,-0.148955
1965-10-31,0.073298,0.073298,0.042891,0.009065,-0.011109,-0.132222
1965-11-30,0.073326,0.073298,0.046442,0.001829,-0.009411,-0.121821
1965-12-31,0.073367,0.073298,0.055304,0.024695,0.042020,-0.130910
1966-01-31,0.073337,0.073337,0.042391,0.032181,0.091398,-0.067506
1966-02-28,0.073266,0.073337,0.042208,0.039330,0.133093,-0.048674
1966-03-31,0.073177,0.073337,0.041000,0.030398,0.119167,0.010871
1966-04-30,0.073056,0.073056,0.059293,0.043912,0.108789,0.032396
1966-05-31,0.072823,0.073056,0.048013,0.045727,0.126967,0.034251
1966-06-30,0.072670,0.073056,0.057166,0.072022,0.123867,0.069625
1966-07-31,0.072454,0.072454,0.055803,0.054533,0.066242,0.133373
1966-08-31,0.072015,0.072454,0.050895,0.065034,0.124695,0.214527
1966-09-30,0.071500,0.072454,0.055816,0.093821,0.144492,0.263192
1966-10-31,0.071026,0.057042,0.074459,0.104553,0.152190,0.163342
1966-11-30,0.070579,0.057668,0.073320,0.109868,0.204175,0.168428
1966-12-31,0.070112,0.056064,0.045045,0.103739,0.226068,0.200921
1967-01-31,0.069794,0.054967,0.106328,0.096033,0.082899,0.065004
1967-02-28,0.069522,0.053810,0.094636,0.087804,0.123361,0.029730
1967-03-31,0.069387,0.052811,0.097854,0.123590,0.147407,0.000000
1967-04-30,0.069302,0.052016,0.080900,0.070500,0.175626,0.036698
1967-05-31,0.069222,0.051670,0.092631,0.057885,0.204276,0.107768
1967-06-30,0.069223,0.051302,0.100891,0.052710,0.190284,0.098632
1967-07-31,0.069369,0.052183,0.090939,0.038338,0.232793,0.031557
1967-08-31,0.069699,0.051829,0.084292,0.060046,0.303733,0.055745
1967-09-30,0.070137,0.051517,0.092631,0.061907,0.210087,0.061628
1967-10-31,0.070348,0.052507,0.065739,0.049838,0.352957,0.108360
1967-11-30,0.070570,0.052709,0.069803,0.062539,0.373924,0.152872
1967-12-31,0.070863,0.053833,0.079739,0.065764,0.360157,0.076604
1968-01-31,0.070850,0.053831,0.060438,0.073788,0.346451,0.116761
1968-02-29,0.070758,0.054165,0.049651,0.071745,0.290980,0.098142
1968-03-31,0.070600,0.055776,0.071728,0.102090,0.262562,0.125388
1968-04-30,0.070524,0.056392,0.053334,0.114025,0.268757,0.063924
1968-05-31,0.070607,0.054337,0.054306,0.064264,0.355059,0.048439
1968-06-30,0.070669,0.053840,0.055502,0.066453,0.400753,-0.018779
1968-07-31,0.070582,0.053611,0.068153,0.062265,0.319835,-0.060467
1968-08-31,0.070550,0.053949,0.060158,0.065609,0.232511,-0.033886
1968-09-30,0.070530,0.054813,0.074821,0.079573,0.178952,-0.093016
1968-10-31,0.070613,0.054300,0.057881,0.069657,0.220292,-0.060826
1968-11-30,0.070794,0.053864,0.055689,0.066574,0.202690,-0.134355
1968-12-31,0.070807,0.053614,0.045824,0.063675,0.262685,-0.113615
1969-01-31,0.070907,0.054036,0.059656,0.063983,0.402421,-0.174643
1969-02-28,0.070907,0.055494,0.081236,0.086716,0.346158,-0.087945
1969-03-31,0.071085,0.055924,0.084790,0.094739,0.319446,-0.117033
1969-04-30,0.071070,0.057298,0.097102,0.094124,0.307480,-0.213810
1969-05-31,0.071021,0.056951,0.107423,0.094950,0.298475,-0.260100
1969-06-30,0.070826,0.056149,0.082332,0.092155,0.360542,-0.255757
1969-07-31,0.070543,0.057682,0.083340,0.108962,0.189503,-0.150060
1969-08-31,0.070318,0.059449,0.084180,0.141791,0.175709,-0.146477
1969-09-30,0.069966,0.059911,0.072427,0.137798,0.152100,-0.094716
1969-10-31,0.069686,0.059218,0.061295,0.139192,0.257755,-0.142813
1969-11-30,0.069249,0.059124,0.076521,0.144287,0.222480,-0.070462
