,ret_1m,ret_3m,ret_6m,ret_12m
1871-01-31,0.013514,0.067568,0.065315,0.094595
1871-02-28,0.024444,0.080000,0.064444,0.084444
1871-03-31,0.028200,0.045553,0.049892,0.093275
1871-04-30,0.025316,-0.002110,-0.031646,0.092827
1871-05-31,-0.008230,-0.014403,-0.045267,0.065844
1871-06-30,-0.018672,0.004149,-0.016598,0.064315
1871-07-31,0.012685,-0.029598,0.027484,0.078224
1871-08-31,0.010438,-0.031315,0.018789,0.052192
1871-09-30,-0.051653,-0.020661,0.041322,0.022727
1871-10-31,0.010893,0.058824,0.128540,0.082789
1871-11-30,0.021552,0.051724,0.116379,0.066810
1871-12-31,0.025316,0.063291,0.082278,0.069620
1872-01-31,0.004115,0.065844,0.049383,0.051440
1872-02-29,0.032787,0.061475,0.032787,0.055328
1872-03-31,0.027778,0.017857,-0.017857,0.013889
1872-04-30,0.000000,-0.015444,-0.040541,-0.027027
1872-05-31,-0.009653,-0.027027,-0.044402,-0.025097
1872-06-30,-0.005848,-0.035088,-0.011696,-0.029240
1872-07-31,-0.011765,-0.025490,0.001961,-0.025490
1872-08-31,-0.017857,-0.017857,0.021825,-0.013889
1872-09-30,0.004040,0.024242,0.032323,-0.072727
1872-10-31,-0.004024,0.028169,0.014085,-0.156942
1872-11-30,0.024242,0.040404,0.020202,-0.183838
1872-12-31,0.007890,0.007890,-0.017751,-0.128205
1873-01-31,0.007828,-0.013699,-0.027397,-0.088063
1873-02-28,-0.007767,-0.019417,-0.034951,-0.067961
1873-03-31,-0.013699,-0.025440,-0.101761,-0.074364
1873-04-30,0.001984,-0.013889,-0.168651,-0.087302
1873-05-31,-0.013861,-0.015842,-0.200000,-0.112871
1873-06-30,-0.002008,-0.078313,-0.112450,-0.104418
1873-07-31,0.000000,-0.156942,-0.062374,-0.102616
1873-08-31,-0.076459,-0.187123,-0.034205,-0.100604
1873-09-30,-0.087146,-0.037037,0.030501,-0.010893
1873-10-31,-0.035800,0.112172,0.097852,0.081146
1873-11-30,0.094059,0.188119,0.108911,0.131188
1873-12-31,0.054299,0.070136,0.009050,0.027149
1874-01-31,0.030043,-0.012876,-0.042918,-0.025751
1874-02-28,-0.014583,-0.066667,-0.068750,-0.056250
1874-03-31,-0.027484,-0.057082,-0.040169,-0.029598
1874-04-30,-0.026087,-0.030435,-0.015217,0.010870
1874-05-31,-0.004464,-0.002232,0.020089,-0.002232
