Date,mean,enet,rf,knn,rsz,ensemble,realized
2020-01-31,-0.000023,-0.000023,0.003799,-0.002248,0.001737,0.001737,0.087015
2020-02-29,-0.000023,-0.000023,0.007608,-0.021032,0.002579,0.002579,0.304836
2020-03-31,-0.000023,-0.000023,0.003860,0.002396,0.001856,0.001856,-0.181764
2020-04-30,-0.000023,-0.000023,-0.000522,0.011406,0.003361,0.003361,0.012889
2020-05-31,-0.000023,-0.000023,0.005802,0.003147,0.004252,0.004252,-0.013470
2020-06-30,-0.000023,-0.000023,0.005994,0.007544,0.003832,0.003832,0.102646
2020-07-31,-0.000023,-0.000023,-0.000039,0.006477,0.002735,0.002735,0.036416
2020-08-31,-0.000023,-0.000023,0.002584,0.001029,0.002047,0.002047,0.124262
2020-09-30,-0.000023,-0.000023,-0.000342,0.006408,0.000998,0.000998,0.004853
2020-10-31,-0.000023,-0.000023,0.003626,0.011544,0.003094,0.003094,-0.200464
2020-11-30,-0.000023,-0.000023,0.001157,0.012722,0.002238,0.002238,-0.006824
2020-12-31,-0.000023,-0.000023,0.003947,0.008580,0.002497,0.002497,-0.023451
2021-01-31,-0.000023,-0.000023,0.007315,0.020696,0.001862,0.001862,-0.245606
2021-02-28,-0.000023,-0.000023,0.003629,0.011569,0.001292,0.001292,0.010563
2021-03-31,-0.000023,-0.000023,-0.000114,0.009777,0.000616,0.000616,0.032592
2021-04-30,-0.000023,-0.000023,0.002530,-0.012587,0.000946,0.000946,-0.038387
2021-05-31,-0.000023,-0.000023,-0.013882,0.000436,-0.000846,-0.000846,-0.019350
2021-06-30,-0.000023,-0.000023,-0.003162,-0.003005,-0.000283,-0.000283,0.132389
2021-07-31,-0.000023,-0.000023,0.000363,0.000648,0.000597,0.000597,0.043200
2021-08-31,-0.000023,-0.000023,-0.003430,-0.016384,0.001189,0.001189,-0.144499
2021-09-30,-0.000023,-0.000023,-0.000019,-0.010442,0.001593,0.001593,-0.052065
2021-10-31,-0.000023,-0.000023,0.005175,-0.007496,0.001888,0.001888,0.019549
2021-11-30,-0.000023,-0.000023,-0.002241,-0.001231,0.002652,0.002652,0.060365
2021-12-31,-0.000023,-0.000023,0.006617,-0.005765,0.003467,0.003467,-0.256312
2022-01-31,-0.000023,-0.000023,0.008125,-0.005476,0.002789,0.002789,-0.080369
2022-02-28,-0.000023,-0.000023,0.011443,-0.002664,0.001358,0.001358,-0.036004
2022-03-31,-0.000023,-0.000023,0.004685,-0.010384,0.002080,0.002080,-0.032033
2022-04-30,-0.000023,-0.000023,0.003475,-0.003180,0.001049,0.001049,-0.145456
2022-05-31,-0.000023,-0.000023,0.011563,0.004727,0.002391,0.002391,0.144654
2022-06-30,-0.000023,-0.000023,0.008962,0.017417,0.003504,0.003504,-0.064190
2022-07-31,-0.000023,-0.000023,0.010373,-0.010360,0.004643,0.004643,-0.084228
2022-08-31,-0.000023,-0.000023,0.006136,0.004067,0.000983,0.000983,0.070201
2022-09-30,-0.000023,-0.000023,0.006428,-0.003125,0.002757,0.002757,-0.153542
2022-10-31,-0.000023,-0.000023,0.006801,-0.007863,0.003104,0.003104,0.034454
2022-11-30,-0.000023,-0.000023,0.007749,-0.007495,0.002315,0.002315,0.011712
2022-12-31,-0.000023,-0.000023,-0.001088,-0.022056,0.001413,0.001413,-0.046453
2023-01-31,-0.000023,-0.000023,0.005990,-0.005749,0.003215,0.003215,0.022972
2023-02-28,-0.000023,-0.000023,-0.000880,-0.009431,0.001195,0.001195,0.021925
2023-03-31,-0.000023,-0.000023,-0.005527,-0.008604,0.000967,0.000967,0.003671
2023-04-30,-0.000023,-0.000023,-0.002594,-0.015748,0.000968,0.000968,0.057630
2023-05-31,-0.000023,-0.000023,-0.004037,-0.012028,0.000437,0.000437,-0.026527
2023-06-30,-0.000023,-0.000023,-0.003280,-0.015899,0.000960,0.000960,-0.067040
2023-07-31,-0.000023,-0.000023,-0.000760,-0.015051,-0.000305,-0.000305,-0.023468
2023-08-31,-0.000023,-0.000023,-0.002888,0.002614,-0.000072,-0.000072,-0.053625
2023-09-30,-0.000023,-0.000023,-0.005844,-0.007024,0.000434,0.000434,0.024905
2023-10-31,-0.000023,-0.000023,-0.006927,-0.007974,0.000576,0.000576,0.061520
2023-11-30,-0.000023,-0.000023,-0.006869,-0.018283,0.000109,0.000109,0.042489
2023-12-31,-0.000023,-0.000023,-0.003477,-0.033325,0.000804,0.000804,0.034459
2024-01-31,-0.000023,-0.000023,-0.002660,-0.021634,0.000548,0.000548,-0.001102
2024-02-29,-0.000023,-0.000023,0.001669,-0.022901,0.001136,0.001136,-0.081086
2024-03-31,-0.000023,-0.000023,0.005124,-0.010187,0.001652,0.001652,-0.040664
2024-04-30,-0.000023,-0.000023,0.002692,0.005580,0.001209,0.001209,0.027437
2024-05-31,-0.000023,-0.000023,-0.003092,-0.000421,0.000209,0.000209,0.032382
2024-06-30,-0.000023,-0.000023,-0.003388,-0.007126,0.000012,0.000012,0.004021
2024-07-31,-0.000023,-0.000023,-0.002938,-0.012244,0.000893,0.000893,0.071297
2024-08-31,-0.000023,-0.000023,0.003123,-0.015882,0.001676,0.001676,0.013606
2024-09-30,-0.000023,-0.000023,-0.003240,-0.012889,0.000603,0.000603,-0.055420
2024-10-31,-0.000023,-0.000023,-0.001335,-0.007940,-0.000352,-0.000352,-0.074662
2024-11-30,-0.000023,-0.000023,0.007438,0.015533,0.001685,0.001685,0.033268
2024-12-31,-0.000023,-0.000023,0.002784,-0.007678,0.000869,0.000869,0.044488
2025-01-31,-0.000023,-0.000023,0.000060,-0.025865,0.000666,0.000666,-0.024313
2025-02-28,-0.000023,-0.000023,0.002784,-0.020924,0.000813,0.000813,-0.050746
2025-03-31,-0.000023,-0.000023,0.003286,-0.008533,0.000226,0.000226,0.100634
2025-04-30,-0.000023,-0.000023,0.005412,-0.004419,0.000911,0.000911,-0.068536
2025-05-31,-0.000023,-0.000023,0.008556,-0.021309,0.003028,0.003028,-0.027632
2025-06-30,-0.000023,-0.000023,0.009344,-0.016983,0.001571,0.001571,-0.060645
2025-07-31,-0.000023,-0.000023,0.001977,-0.019268,0.000671,0.000671,0.017205
2025-08-31,-0.000023,-0.000023,0.006290,0.001746,0.002224,0.002224,0.020474
2025-09-30,-0.000023,-0.000023,0.004592,-0.015501,0.000943,0.000943,0.050046
2025-10-31,-0.000023,-0.000023,-0.004985,-0.016868,0.000241,0.000241,0.066569
2025-11-30,-0.000023,-0.000023,-0.002655,-0.035949,0.000693,0.000693,-0.010936
2025-12-31,-0.000023,-0.000023,0.002054,-0.017576,0.000491,0.000491,-0.142190
2026-01-31,-0.000023,-0.000023,0.002236,0.004644,0.001006,0.001006,-0.060112
2026-02-28,-0.000023,-0.000023,-0.000543,-0.016640,-0.000756,-0.000756,-0.183720
2026-03-31,-0.000023,-0.000023,0.008005,0.021708,0.001106,0.001106,0.022052
2026-04-30,-0.000023,-0.000023,0.000662,0.000664,0.000670,0.000670,0.080166
2026-05-31,-0.000023,-0.000023,-0.008644,-0.015122,0.000904,0.000904,0.036027
2026-06-30,-0.000023,-0.000023,-0.012799,-0.029119,0.000459,0.000459,
