Date,enet,rf,knn,rsz,mean,ensemble,realized
2008-01-31,0.047558,-0.001857,-0.005273,-0.005601,-0.009992,-0.005601,-0.119380
2008-02-29,0.005678,-0.016104,-0.001824,-0.006936,-0.009191,-0.006936,-0.022078
2008-03-31,0.054574,0.003717,-0.006388,-0.007712,-0.010300,-0.007712,-0.093889
2008-04-30,0.038937,-0.005524,-0.002153,-0.008985,-0.010300,-0.008985,-0.032928
2008-05-31,0.044942,-0.004612,0.004638,-0.011821,-0.011240,-0.011821,-0.073864
2008-06-30,0.049335,-0.002253,0.005335,-0.011056,-0.011240,-0.011056,0.203933
2008-07-31,-0.009913,0.000498,0.000168,-0.007124,-0.009913,-0.007124,0.017298
2008-08-31,-0.009913,-0.006905,-0.009775,-0.008878,-0.009913,-0.008878,0.074997
2008-09-30,-0.009913,-0.004869,-0.014780,-0.005344,-0.009679,-0.005344,0.073185
2008-10-31,-0.009913,0.003234,0.008937,0.005203,-0.008259,0.005203,-0.041368
2008-11-30,-0.009913,-0.004119,0.007222,0.009686,-0.008259,0.009686,0.116892
2008-12-31,-0.009913,0.013160,0.005841,0.017039,-0.007492,0.017039,0.005741
2009-01-31,0.052627,0.017294,0.018187,0.018872,-0.007492,0.018872,-0.000502
2009-02-28,0.059426,0.016736,0.018344,0.012617,-0.007382,0.012617,0.022415
2009-03-31,0.060533,0.015101,0.018344,0.009311,-0.007084,0.009311,-0.079430
2009-04-30,0.053749,0.011861,0.015730,0.007048,-0.007084,0.007048,-0.060639
2009-05-31,0.072499,0.012942,0.015730,-0.003800,-0.008091,-0.003800,0.089190
2009-06-30,0.070633,0.016172,0.003594,-0.006123,-0.008091,-0.006123,0.005808
2009-07-31,-0.007216,0.008409,-0.002515,-0.000622,-0.007216,-0.000622,0.016045
2009-08-31,-0.007216,0.011841,0.011809,-0.001967,-0.007216,-0.001967,-0.052271
2009-09-30,-0.007216,0.010796,0.004957,-0.000772,-0.007034,-0.000772,-0.045594
