Date,mean,enet,rf,knn,rsz,ensemble,realized
2020-01-31,0.007454,0.005838,0.003530,0.000665,0.006853,0.007454,-0.152881
2020-02-29,0.007454,-0.008075,-0.008178,0.004295,0.003857,0.007454,-0.343710
2020-03-31,0.007454,0.006201,0.002374,0.008446,0.005233,0.007454,0.307640
2020-04-30,0.007454,-0.002948,0.003240,-0.006806,0.001491,0.007454,0.020000
2020-05-31,0.007454,0.016660,0.004106,0.014390,0.004446,0.007454,-0.010956
2020-06-30,0.007454,0.012589,0.000444,0.021961,0.005884,0.007454,-0.048085
2020-07-31,0.007454,0.022338,0.012971,0.023352,0.006594,0.007454,-0.010547
2020-08-31,0.007454,0.019650,0.007396,0.020213,0.006764,0.007454,-0.146066
2020-09-30,0.007454,0.027662,0.010218,0.016374,0.008811,0.007454,-0.041069
2020-10-31,0.007454,0.010387,-0.003181,-0.007853,0.003733,0.007454,0.279944
2020-11-30,0.007454,0.018217,0.005226,0.003951,0.006474,0.007454,0.044801
2020-12-31,0.007454,0.023345,0.003667,0.000666,0.007624,0.007454,0.037467
2021-01-31,0.007454,0.015854,0.001486,0.008169,0.006404,0.007454,0.224567
2021-02-28,0.007454,0.017173,0.004824,0.005570,0.006769,0.007454,0.029710
2021-03-31,0.007454,0.027011,0.009895,-0.003013,0.008513,0.007454,0.006727
2021-04-30,0.007454,-0.000533,0.002258,0.008117,0.004301,0.007454,0.057096
2021-05-31,0.007454,0.005959,0.015294,0.010850,0.007150,0.007454,0.042339
2021-06-30,0.007454,0.004681,0.007236,0.011396,0.006654,0.007454,-0.083163
2021-07-31,0.007454,-0.002933,-0.000321,-0.004275,0.005575,0.007454,-0.020045
2021-08-31,0.007454,0.001186,0.007303,0.007257,0.004313,0.007454,0.089315
2021-09-30,0.007454,-0.003028,0.001519,-0.004370,0.004389,0.007454,0.103283
2021-10-31,0.007454,-0.003116,-0.004375,0.006947,0.005138,0.007454,-0.050113
2021-11-30,0.007454,-0.005765,0.004083,0.000153,0.002969,0.007454,0.029834
2021-12-31,0.007454,-0.011655,-0.009272,-0.009068,0.000527,0.007454,0.187748
2022-01-31,0.007454,-0.000254,-0.005715,0.006826,0.003495,0.007454,0.070692
2022-02-28,0.007454,0.002312,-0.002861,-0.007143,0.005940,0.007454,0.093386
2022-03-31,0.007454,0.000447,0.000742,0.013950,0.003501,0.007454,-0.016876
2022-04-30,0.007454,0.007639,0.003426,-0.000083,0.005076,0.007454,0.160346
2022-05-31,0.007454,-0.005314,-0.007236,-0.008320,0.002618,0.007454,-0.170735
2022-06-30,0.007454,-0.004118,0.001265,-0.017490,0.001815,0.007454,0.096630
2022-07-31,0.007454,-0.022784,-0.011253,-0.021353,-0.002946,0.007454,0.026524
2022-08-31,0.007454,0.003998,-0.002167,-0.002313,0.004971,0.007454,-0.095587
2022-09-30,0.007454,-0.003056,-0.001516,0.007733,0.001885,0.007454,0.249653
2022-10-31,0.007454,-0.006359,-0.008308,0.000016,0.000485,0.007454,0.012778
2022-11-30,0.007454,0.000923,0.002682,-0.000909,0.004015,0.007454,-0.030489
2022-12-31,0.007454,0.006894,0.004890,0.011015,0.004232,0.007454,0.028124
2023-01-31,0.007454,-0.003791,0.000674,0.001652,0.001249,0.007454,-0.069387
2023-02-28,0.007454,0.007001,0.007642,0.009477,0.004470,0.007454,0.000053
2023-03-31,0.007454,0.002515,0.010253,0.005120,0.004750,0.007454,0.027768
2023-04-30,0.007454,0.002866,0.007517,0.010320,0.005245,0.007454,-0.100317
2023-05-31,0.007454,0.003572,0.010166,0.002185,0.006511,0.007454,0.069134
2023-06-30,0.007454,0.001765,0.004707,0.015411,0.005305,0.007454,0.077738
2023-07-31,0.007454,0.016179,0.011976,-0.003274,0.008980,0.007454,0.016461
2023-08-31,0.007454,0.013902,0.014420,-0.001796,0.008780,0.007454,0.024033
2023-09-30,0.007454,0.001236,0.005658,0.011593,0.006657,0.007454,-0.057528
2023-10-31,0.007454,0.001746,0.005114,0.010408,0.006463,0.007454,-0.007160
2023-11-30,0.007454,0.003714,0.012274,0.026101,0.007094,0.007454,0.000772
2023-12-31,0.007454,0.004120,0.007419,0.025201,0.006064,0.007454,-0.005129
2024-01-31,0.007454,0.005899,0.007472,0.027403,0.006829,0.007454,0.032730
2024-02-29,0.007454,0.006096,0.009496,0.031271,0.007210,0.007454,0.104864
2024-03-31,0.007454,0.000468,0.000584,0.028078,0.006282,0.007454,-0.009427
2024-04-30,0.007454,0.005610,0.006713,0.001809,0.007356,0.007454,-0.003422
2024-05-31,0.007454,0.014823,0.010227,0.006343,0.007850,0.007454,-0.014142
2024-06-30,0.007454,0.006512,0.002020,0.003410,0.007572,0.007454,0.022600
2024-07-31,0.007454,-0.000740,0.004450,0.016717,0.006564,0.007454,-0.020706
2024-08-31,0.007454,-0.004545,-0.005193,0.008589,0.005412,0.007454,-0.030181
2024-09-30,0.007454,0.004805,0.006850,0.026697,0.007055,0.007454,0.008998
2024-10-31,0.007454,0.018545,0.009752,0.028973,0.009080,0.007454,0.078338
2024-11-30,0.007454,-0.001024,0.001855,0.012633,0.006162,0.007454,-0.095796
2024-12-31,0.007454,0.002925,-0.002076,0.006561,0.007155,0.007454,0.023114
2025-01-31,0.007454,0.006070,0.003543,0.012600,0.007015,0.007454,0.038339
2025-02-28,0.007454,0.010500,0.004381,0.019657,0.007098,0.007454,0.034932
2025-03-31,0.007454,0.015459,0.004534,0.017247,0.007831,0.007454,-0.138577
2025-04-30,0.007454,0.017777,0.006375,0.017721,0.007475,0.007454,0.012795
2025-05-31,0.007454,-0.005665,-0.007646,0.015118,0.002288,0.007454,0.048693
2025-06-30,0.007454,0.009043,0.004453,0.013918,0.006437,0.007454,0.028299
2025-07-31,0.007454,0.015167,0.007363,0.011740,0.007500,0.007454,0.036464
2025-08-31,0.007454,-0.006334,0.002262,0.018030,0.004719,0.007454,-0.003182
2025-09-30,0.007454,0.007955,0.003365,0.009358,0.006041,0.007454,-0.013544
2025-10-31,0.007454,0.011376,0.009569,0.004879,0.007266,0.007454,0.026325
2025-11-30,0.007454,0.011441,0.006381,0.009804,0.006419,0.007454,-0.002960
2025-12-31,0.007454,0.010707,0.003523,0.001479,0.007112,0.007454,0.141803
2026-01-31,0.007454,0.011440,0.005155,0.003610,0.006249,0.007454,0.095397
2026-02-28,0.007454,0.019920,0.010270,0.014003,0.010325,0.007454,0.102651
2026-03-31,0.007454,0.000767,-0.000385,-0.007287,0.005526,0.007454,-0.026281
2026-04-30,0.007454,-0.000178,0.001124,0.012667,0.007961,0.007454,-0.056329
2026-05-31,0.007454,-0.006287,0.008685,0.005094,0.004961,0.007454,-0.013146
2026-06-30,0.007454,-0.003985,0.008399,0.005698,0.004555,0.007454,
