Date,mean,enet,rf,knn,rsz,ensemble,realized
2020-01-31,0.087493,-0.133676,0.025805,-0.045387,0.073036,0.073036,-0.215219
2020-02-07,0.087493,-0.142111,0.024680,-0.040074,0.071345,0.071345,-0.159050
2020-02-14,0.087493,-0.146992,0.020508,0.003097,0.070470,0.070470,-0.127061
2020-02-21,0.087493,-0.127040,0.029675,0.033088,0.071104,0.071104,-0.090218
2020-02-28,0.087493,-0.125694,0.029831,-0.046379,0.071401,0.071401,0.134455
2020-03-06,0.087493,-0.128144,0.057368,0.080001,0.077285,0.077285,0.328858
2020-03-13,0.087493,-0.119447,0.051706,-0.083295,0.073855,0.073855,0.775016
2020-03-20,0.087493,-0.087022,0.058933,0.096457,0.077163,0.077163,1.042873
2020-03-27,0.087493,-0.071766,0.063166,0.146997,0.082028,0.082028,0.876794
2020-04-03,0.087493,-0.089015,0.055185,0.002822,0.074967,0.074967,0.778178
2020-04-10,0.087493,-0.134825,0.053871,0.042041,0.068729,0.068729,0.498315
2020-04-17,0.087493,-0.004063,0.059429,0.001075,0.077564,0.077564,0.503072
2020-04-24,0.087493,0.021404,0.061159,-0.035800,0.080993,0.080993,0.447793
2020-05-01,0.087493,0.079997,0.093501,0.145884,0.088635,0.088635,0.452526
2020-05-08,0.087493,-0.003298,0.090098,0.011008,0.080848,0.080848,0.458056
2020-05-15,0.087493,-0.018319,0.067598,0.036712,0.078309,0.078309,0.566985
2020-05-22,0.087493,0.040585,0.070188,0.020482,0.082485,0.082485,0.429146
2020-05-29,0.087493,0.062583,0.069342,0.037264,0.080180,0.080180,0.420183
2020-06-05,0.087493,0.029090,0.086336,0.129933,0.089387,0.089387,0.310851
2020-06-12,0.087493,0.014334,0.072191,0.089407,0.087100,0.087100,0.466310
2020-06-19,0.087493,0.031672,0.083046,0.149193,0.092855,0.092855,0.395907
2020-06-26,0.087493,0.012463,0.084641,0.113384,0.087974,0.087974,0.593983
2020-07-03,0.087493,0.016387,0.105981,0.131449,0.092747,0.092747,0.540245
2020-07-10,0.087493,0.017457,0.096414,0.106887,0.087728,0.087728,0.563810
2020-07-17,0.087493,0.037036,0.107165,0.118817,0.091269,0.091269,0.395273
2020-07-24,0.087493,0.018593,0.099318,0.111706,0.091158,0.091158,0.360286
2020-07-31,0.087493,0.066930,0.099321,0.001429,0.089213,0.089213,0.441555
2020-08-07,0.087493,0.089220,0.100902,0.007172,0.091058,0.091058,0.400361
2020-08-14,0.087493,0.100437,0.094566,0.011879,0.085208,0.085208,0.360847
2020-08-21,0.087493,0.103235,0.092848,0.000298,0.090307,0.090307,0.339400
2020-08-28,0.087493,0.104991,0.097184,0.000909,0.090818,0.090818,0.423026
2020-09-04,0.087493,0.141459,0.090344,-0.014043,0.089883,0.089883,0.466289
2020-09-11,0.087493,0.128474,0.081447,-0.001127,0.091598,0.091598,0.540669
2020-09-18,0.087493,0.126642,0.095122,0.055607,0.092007,0.092007,0.543160
2020-09-25,0.087493,0.133826,0.088135,0.078133,0.087580,0.087580,0.766089
2020-10-02,0.087493,0.151378,0.089841,0.006642,0.088426,0.088426,0.923549
2020-10-09,0.087493,0.178568,0.094825,-0.008978,0.092922,0.092922,0.923935
