Date,mean,enet,rf,knn,rsz,ensemble,realized
2020-01-31,0.007431,0.007431,0.005736,0.019617,0.007771,0.007431,-0.065866
2020-02-29,0.007431,0.007431,-0.001722,-0.003631,0.006444,0.007431,-0.038874
2020-03-31,0.007431,0.007431,0.009687,0.007655,0.007625,0.007431,0.125875
2020-04-30,0.007431,0.007431,0.003740,-0.002749,0.005935,0.007431,0.032889
2020-05-31,0.007431,0.007431,0.004930,0.013773,0.006368,0.007431,-0.024426
2020-06-30,0.007431,0.007431,0.008588,0.009627,0.009275,0.007431,0.054562
2020-07-31,0.007431,0.007431,0.010786,0.005941,0.009186,0.007431,0.025869
2020-08-31,0.007431,0.007431,0.008313,0.006477,0.008530,0.007431,-0.021805
2020-09-30,0.007431,0.007431,0.007080,-0.008763,0.009372,0.007431,-0.036215
2020-10-31,0.007431,0.007431,0.001319,-0.013483,0.007400,0.007431,0.079481
2020-11-30,0.007431,0.007431,0.004833,0.001150,0.008692,0.007431,0.037978
2020-12-31,0.007431,0.007431,0.004569,-0.009839,0.009053,0.007431,0.014016
2021-01-31,0.007431,0.007431,0.005425,-0.003706,0.008453,0.007431,-0.021038
2021-02-28,0.007431,0.007431,0.005306,-0.009199,0.008685,0.007431,0.040273
2021-03-31,0.007431,0.007431,0.005672,-0.004596,0.009749,0.007431,0.039318
2021-04-30,0.007431,0.007431,0.000362,-0.000212,0.006723,0.007431,0.018709
2021-05-31,0.007431,0.007431,0.003171,0.007605,0.007330,0.007431,0.022990
2021-06-30,0.007431,0.007431,0.004411,0.007027,0.007028,0.007431,0.049226
2021-07-31,0.007431,0.007431,0.000027,0.015875,0.006868,0.007431,0.023156
2021-08-31,0.007431,0.007431,0.003771,0.008844,0.006503,0.007431,-0.055184
2021-09-30,0.007431,0.007431,0.002504,0.007882,0.006274,0.007431,0.051218
2021-10-31,0.007431,0.007431,0.001380,0.018959,0.007433,0.007431,-0.030563
2021-11-30,0.007431,0.007431,0.002829,0.013626,0.005792,0.007431,0.090198
2021-12-31,0.007431,0.007431,-0.001227,0.004312,0.004746,0.007431,-0.068564
2022-01-31,0.007431,0.007431,0.001736,0.004651,0.006097,0.007431,-0.009678
2022-02-28,0.007431,0.007431,0.001906,-0.005287,0.007732,0.007431,0.057382
2022-03-31,0.007431,0.007431,0.004371,0.007596,0.006402,0.007431,-0.048909
2022-04-30,0.007431,0.007431,0.002802,0.009608,0.006505,0.007431,0.014890
2022-05-31,0.007431,0.007431,0.000145,0.003362,0.006366,0.007431,-0.026080
2022-06-30,0.007431,0.007431,0.007529,0.016266,0.006040,0.007431,0.032439
2022-07-31,0.007431,0.007431,-0.001829,0.000841,0.004247,0.007431,-0.057704
2022-08-31,0.007431,0.007431,0.004976,0.006751,0.006806,0.007431,-0.025387
2022-09-30,0.007431,0.007431,0.007404,0.010568,0.006235,0.007431,0.096111
2022-10-31,0.007431,0.007431,0.004299,0.007515,0.005617,0.007431,0.047232
2022-11-30,0.007431,0.007431,0.008442,0.007570,0.006592,0.007431,-0.018777
2022-12-31,0.007431,0.007431,0.003877,0.013526,0.006643,0.007431,-0.018329
2023-01-31,0.007431,0.007431,0.003878,0.012483,0.006105,0.007431,-0.046416
2023-02-28,0.007431,0.007431,0.007548,-0.000928,0.006826,0.007431,0.021978
2023-03-31,0.007431,0.007431,0.006054,0.004621,0.007389,0.007431,0.031438
2023-04-30,0.007431,0.007431,0.009714,0.004460,0.007352,0.007431,-0.042687
2023-05-31,0.007431,0.007431,0.006868,0.002431,0.007609,0.007431,0.042606
2023-06-30,0.007431,0.007431,0.003809,0.008698,0.007563,0.007431,0.010698
2023-07-31,0.007431,0.007431,0.010338,0.006907,0.008947,0.007431,-0.007007
2023-08-31,0.007431,0.007431,0.010660,0.010185,0.008994,0.007431,-0.029592
2023-09-30,0.007431,0.007431,0.000271,0.003050,0.007710,0.007431,-0.032624
2023-10-31,0.007431,0.007431,0.004773,0.010569,0.007884,0.007431,0.054360
2023-11-30,0.007431,0.007431,0.008672,0.007469,0.007979,0.007431,0.043261
2023-12-31,0.007431,0.007431,0.006848,0.007723,0.007049,0.007431,0.029330
2024-01-31,0.007431,0.007431,0.003213,0.009716,0.007268,0.007431,0.031629
2024-02-29,0.007431,0.007431,0.007025,0.003175,0.007965,0.007431,0.023777
2024-03-31,0.007431,0.007431,0.001113,0.007115,0.007175,0.007431,-0.050092
2024-04-30,0.007431,0.007431,0.003847,0.010363,0.007635,0.007431,0.024015
2024-05-31,0.007431,0.007431,0.001117,0.008254,0.008191,0.007431,0.018240
2024-06-30,0.007431,0.007431,-0.002877,-0.002092,0.007472,0.007431,0.026621
2024-07-31,0.007431,0.007431,0.000019,0.010540,0.007313,0.007431,0.050591
2024-08-31,0.007431,0.007431,-0.004777,0.004585,0.006619,0.007431,-0.016575
2024-09-30,0.007431,0.007431,-0.000524,0.009490,0.007090,0.007431,-0.046423
2024-10-31,0.007431,0.007431,0.003305,0.009090,0.008189,0.007431,0.003677
2024-11-30,0.007431,0.007431,0.004682,-0.001619,0.007373,0.007431,-0.062527
2024-12-31,0.007431,0.007431,-0.001265,0.009027,0.007544,0.007431,0.067602
2025-01-31,0.007431,0.007431,0.010121,0.010564,0.008586,0.007431,0.014026
2025-02-28,0.007431,0.007431,0.008495,0.002543,0.007772,0.007431,-0.015814
2025-03-31,0.007431,0.007431,0.007078,0.011770,0.008041,0.007431,-0.037943
2025-04-30,0.007431,0.007431,0.012533,0.005202,0.008452,0.007431,-0.055741
2025-05-31,0.007431,0.007431,0.002763,0.017173,0.006253,0.007431,0.021061
2025-06-30,0.007431,0.007431,0.013953,0.014751,0.008419,0.007431,-0.032347
2025-07-31,0.007431,0.007431,0.013927,0.013783,0.008390,0.007431,0.053669
2025-08-31,0.007431,0.007431,0.008816,0.016900,0.007619,0.007431,0.017292
2025-09-30,0.007431,0.007431,0.009903,0.004748,0.007340,0.007431,0.036502
2025-10-31,0.007431,0.007431,0.008629,0.002774,0.007920,0.007431,0.092894
2025-11-30,0.007431,0.007431,0.008414,0.008490,0.007390,0.007431,-0.013897
2025-12-31,0.007431,0.007431,0.002564,0.002934,0.006923,0.007431,-0.000388
2026-01-31,0.007431,0.007431,0.002137,0.007126,0.006794,0.007431,0.035285
2026-02-28,0.007431,0.007431,0.007947,0.006115,0.008837,0.007431,-0.081069
2026-03-31,0.007431,0.007431,0.005217,0.005715,0.006230,0.007431,-0.004229
2026-04-30,0.007431,0.007431,-0.002095,0.014366,0.009149,0.007431,0.023837
2026-05-31,0.007431,0.007431,0.001728,0.001071,0.006855,0.007431,0.022881
2026-06-30,0.007431,0.007431,-0.000720,0.000492,0.005988,0.007431,
