Date,mean,enet,rf,knn,rsz,ensemble,realized
2020-01-31,0.041455,0.041455,0.029209,0.087032,0.044436,0.041455,0.074152
2020-02-07,0.041455,0.041455,0.030116,0.022985,0.044501,0.041455,0.042114
2020-02-14,0.041455,0.041455,0.027804,0.057447,0.044016,0.041455,0.036976
2020-02-21,0.041455,0.041455,0.027766,0.032447,0.044902,0.041455,0.042185
2020-02-28,0.041455,0.041455,0.028146,0.029522,0.045680,0.041455,0.176805
2020-03-06,0.041455,0.041455,0.038152,0.054153,0.046249,0.041455,0.097920
2020-03-13,0.041455,0.041455,0.034032,0.050155,0.044801,0.041455,0.164161
2020-03-20,0.041455,0.041455,0.040097,0.033021,0.045683,0.041455,0.346586
2020-03-27,0.041455,0.041455,0.041562,0.078846,0.046132,0.041455,0.222118
2020-04-03,0.041455,0.041455,0.039306,0.002116,0.044137,0.041455,0.210154
2020-04-10,0.041455,0.041455,0.035330,0.046852,0.045528,0.041455,0.152080
2020-04-17,0.041455,0.041455,0.027280,-0.014159,0.045089,0.041455,0.079660
2020-04-24,0.041455,0.041455,0.037075,-0.011656,0.045875,0.041455,0.083929
2020-05-01,0.041455,0.041455,0.029064,0.054602,0.047534,0.041455,0.047701
2020-05-08,0.041455,0.041455,0.011153,-0.017622,0.047312,0.041455,0.114823
2020-05-15,0.041455,0.041455,0.013255,0.036275,0.047742,0.041455,0.125699
2020-05-22,0.041455,0.041455,0.017257,0.035713,0.048344,0.041455,0.101138
2020-05-29,0.041455,0.041455,0.018548,0.044958,0.049078,0.041455,0.071164
2020-06-05,0.041455,0.041455,0.061671,0.133121,0.047412,0.041455,0.099371
2020-06-12,0.041455,0.041455,0.060408,0.133101,0.048000,0.041455,0.153679
2020-06-19,0.041455,0.041455,0.062876,0.138852,0.048198,0.041455,0.130818
2020-06-26,0.041455,0.041455,0.062416,0.137204,0.047382,0.041455,0.152442
2020-07-03,0.041455,0.041455,0.060297,0.124080,0.049212,0.041455,0.125597
2020-07-10,0.041455,0.041455,0.059898,0.099562,0.047751,0.041455,0.175084
2020-07-17,0.041455,0.041455,0.059563,0.125331,0.048290,0.041455,0.113602
2020-07-24,0.041455,0.041455,0.058301,0.110587,0.047402,0.041455,0.127919
2020-07-31,0.041455,0.041455,0.037732,0.082877,0.047105,0.041455,0.098868
2020-08-07,0.041455,0.041455,0.036712,0.088639,0.047352,0.041455,0.095844
2020-08-14,0.041455,0.041455,0.036941,0.051645,0.046490,0.041455,0.107040
2020-08-21,0.041455,0.041455,0.036378,0.066472,0.047776,0.041455,0.079747
2020-08-28,0.041455,0.041455,0.034769,0.066472,0.047316,0.041455,0.051148
2020-09-04,0.041455,0.041455,0.020446,0.009535,0.046873,0.041455,0.077931
