Factor,Category,Start,Raw value,Z-score,P (HAC),AUC,Probability,Direction,Basis,n,feature
"VIX, level",Volatility,1990-02,17.24,-0.3,0.0375,0.67,0.3038,Bullish,Bearish above avg,436,vix_level
"VIX, 2yr z-score",Volatility,1991-01,-0.2941,-0.24,0.0258,0.635,0.3054,Bullish,Bearish above avg,425,vix_zscore_24m
VIX>VIX3M backwardation (dummy),Volatility,2008-01,0.0,-0.32,0.3787,0.526,0.34,Bullish,Bearish above avg,221,vts_backwardation
VIX term structure slope (VIX3M-VIX),Volatility,2008-01,3.22,0.83,0.4258,0.522,0.3236,Bullish,Bullish above avg,221,vts_slope
VIX / VIX3M ratio,Volatility,2008-01,0.8426,-0.92,0.6774,0.512,0.3338,Bullish,Bearish above avg,221,vts_ratio
"VIX term structure slope, 2yr z-score",Volatility,2008-12,1.1247,1.1,0.6218,0.506,0.3393,Bearish,Bearish above avg,210,vts_slope_zscore
"NFCI financial conditions, level",Fin. conditions,1971-02,-0.501,-0.5,0.0086,0.658,0.3084,Bullish,Bearish above avg,664,nfci_level
"ANFCI adj. financial conditions, level",Fin. conditions,1971-02,-0.452,-0.45,0.0305,0.628,0.3216,Bullish,Bearish above avg,664,anfci_level
"NFCI, 3m change",Fin. conditions,1971-05,0.032,0.07,0.0708,0.568,0.3591,Bearish,Bearish above avg,661,nfci_3m_chg
"ANFCI, 3m change",Fin. conditions,1971-05,0.05,0.09,0.1429,0.535,0.3596,Bearish,Bearish above avg,661,anfci_3m_chg
"BAA-10y spread, 5yr z-score",Credit,1989-01,-1.0042,-0.69,0.0097,0.638,0.2552,Bullish,Bearish above avg,449,baa_zscore_60m
"BAA-10y spread, 2yr z-score",Credit,1987-01,-0.7033,-0.51,0.0198,0.622,0.2828,Bullish,Bearish above avg,473,baa_zscore_24m
"BAA corporate yield, 6m change",Credit,1919-08,0.24,0.38,0.0058,0.607,0.4144,Bearish,Bearish above avg,1282,baa_yield_chg6
"BAA-AAA quality spread, 5yr z-score",Credit,1922-01,-1.2892,-0.88,0.0015,0.6,0.3122,Bullish,Bearish above avg,1253,baa_aaa_z60
"BAA-10y spread, 3m change",Credit,1986-05,-0.23,-0.59,0.0204,0.598,0.2782,Bullish,Bearish above avg,481,baa_3m_chg
